class,support,tp,precision,recall,f1,fpr
BENIGN,454264,438946,0.9999,0.9663,0.9828,0.0002
Bot,391,388,0.0834,0.9923,0.1539,0.0075
DDoS,25605,25597,0.9953,0.9997,0.9975,0.0002
DoS GoldenEye,2059,2059,0.9167,1.0000,0.9566,0.0003
DoS Hulk,46025,45990,0.9490,0.9992,0.9735,0.0048
DoS Slowhttptest,1100,1095,0.8561,0.9955,0.9206,0.0003
DoS slowloris,1159,1139,0.9735,0.9827,0.9781,0.0001
FTP-Patator,1587,1581,0.9943,0.9962,0.9953,0.0000
Other_Attack,13,8,0.0721,0.6154,0.1290,0.0002
PortScan,31761,31744,0.8302,0.9995,0.9070,0.0122
SSH-Patator,1179,1171,0.8270,0.9932,0.9025,0.0004
Web Attack Brute Force,301,281,0.1663,0.9336,0.2823,0.0025
Web Attack XSS,131,6,0.1622,0.0458,0.0714,0.0001
