class,support,tp,precision,recall,f1,fpr
BENIGN,454264,453949,0.9994,0.9993,0.9994,0.0023
Bot,391,255,0.8916,0.6522,0.7533,0.0001
DDoS,25605,25598,1.0000,0.9997,0.9999,0.0000
DoS GoldenEye,2059,2048,0.9956,0.9947,0.9951,0.0000
DoS Hulk,46025,45947,0.9980,0.9983,0.9981,0.0002
DoS Slowhttptest,1100,1095,0.9910,0.9955,0.9932,0.0000
DoS slowloris,1159,1150,0.9965,0.9922,0.9944,0.0000
FTP-Patator,1587,1584,1.0000,0.9981,0.9991,0.0000
Other_Attack,13,7,0.7778,0.5385,0.6364,0.0000
PortScan,31761,31753,0.9940,0.9997,0.9968,0.0004
SSH-Patator,1179,1178,1.0000,0.9992,0.9996,0.0000
Web Attack Brute Force,301,279,0.7028,0.9269,0.7994,0.0002
Web Attack XSS,131,6,0.3529,0.0458,0.0811,0.0000
