class,support,tp,precision,recall,f1,fpr
BENIGN,454264,452180,0.9997,0.9954,0.9976,0.0011
Bot,391,317,0.3594,0.8107,0.4980,0.0010
DDoS,25605,25593,0.9993,0.9995,0.9994,0.0000
DoS GoldenEye,2059,2037,0.9884,0.9893,0.9888,0.0000
DoS Hulk,46025,45968,0.9745,0.9988,0.9865,0.0023
DoS Slowhttptest,1100,1095,0.9639,0.9955,0.9794,0.0001
DoS slowloris,1159,1139,0.9913,0.9827,0.9870,0.0000
FTP-Patator,1587,1582,0.9987,0.9968,0.9978,0.0000
Other_Attack,13,7,0.1029,0.5385,0.1728,0.0001
PortScan,31761,31747,0.9939,0.9996,0.9967,0.0004
SSH-Patator,1179,1166,0.9373,0.9890,0.9624,0.0001
Web Attack Brute Force,301,170,0.7834,0.5648,0.6564,0.0001
Web Attack XSS,131,77,0.3720,0.5878,0.4556,0.0002
