class,support,tp,precision,recall,f1,fpr
BENIGN,454264,447135,0.9520,0.9843,0.9679,0.2027
Bot,391,1,0.0200,0.0026,0.0045,0.0001
DDoS,25605,2285,0.1905,0.0892,0.1215,0.0180
DoS GoldenEye,2059,1613,0.1633,0.7834,0.2703,0.0147
DoS Hulk,46025,29793,0.9632,0.6473,0.7743,0.0022
DoS Slowhttptest,1100,926,0.6577,0.8418,0.7384,0.0009
DoS slowloris,1159,387,0.0319,0.3339,0.0582,0.0208
FTP-Patator,1587,790,0.4614,0.4978,0.4789,0.0016
Other_Attack,13,2,0.0029,0.1538,0.0057,0.0012
PortScan,31761,21681,0.8839,0.6826,0.7703,0.0053
SSH-Patator,1179,564,0.2733,0.4784,0.3478,0.0027
Web Attack Brute Force,301,14,0.2258,0.0465,0.0771,0.0001
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0008
