class,support,tp,precision,recall,f1,fpr
BENIGN,454264,438346,0.9750,0.9650,0.9699,0.1010
Bot,391,231,0.5156,0.5908,0.5507,0.0004
DDoS,25605,24509,0.9737,0.9572,0.9654,0.0012
DoS GoldenEye,2059,1908,0.5792,0.9267,0.7129,0.0025
DoS Hulk,46025,37072,0.9893,0.8055,0.8880,0.0008
DoS Slowhttptest,1100,1053,0.5482,0.9573,0.6971,0.0015
DoS slowloris,1159,1113,0.4756,0.9603,0.6362,0.0022
FTP-Patator,1587,1577,0.5487,0.9937,0.7070,0.0023
Other_Attack,13,1,0.0012,0.0769,0.0024,0.0015
PortScan,31761,30863,0.8265,0.9717,0.8933,0.0121
SSH-Patator,1179,694,0.4432,0.5886,0.5056,0.0015
Web Attack Brute Force,301,14,0.5000,0.0465,0.0851,0.0000
Web Attack XSS,131,124,0.0458,0.9466,0.0874,0.0046
