class,support,tp,precision,recall,f1,fpr
BENIGN,454264,450355,0.9996,0.9914,0.9955,0.0016
Bot,391,253,0.4703,0.6471,0.5447,0.0005
DDoS,25605,25593,0.9977,0.9995,0.9986,0.0001
DoS GoldenEye,2059,2053,0.9448,0.9971,0.9702,0.0002
DoS Hulk,46025,45981,0.9632,0.9990,0.9808,0.0034
DoS Slowhttptest,1100,1095,0.8910,0.9955,0.9403,0.0002
DoS slowloris,1159,1142,0.9645,0.9853,0.9748,0.0001
FTP-Patator,1587,1576,0.9962,0.9931,0.9946,0.0000
Other_Attack,13,5,0.0549,0.3846,0.0962,0.0002
PortScan,31761,31730,0.9921,0.9990,0.9955,0.0005
SSH-Patator,1179,1075,0.9446,0.9118,0.9279,0.0001
Web Attack Brute Force,301,30,0.7692,0.0997,0.1765,0.0000
Web Attack XSS,131,129,0.0759,0.9847,0.1409,0.0028
