class,support,tp,precision,recall,f1,fpr
BENIGN,454264,453924,0.9997,0.9993,0.9995,0.0011
Bot,391,309,0.8466,0.7903,0.8175,0.0001
DDoS,25605,25601,0.9999,0.9998,0.9999,0.0000
DoS GoldenEye,2059,2054,0.9976,0.9976,0.9976,0.0000
DoS Hulk,46025,46007,0.9986,0.9996,0.9991,0.0001
DoS Slowhttptest,1100,1096,0.9928,0.9964,0.9946,0.0000
DoS slowloris,1159,1150,0.9974,0.9922,0.9948,0.0000
FTP-Patator,1587,1586,1.0000,0.9994,0.9997,0.0000
Other_Attack,13,7,0.8750,0.5385,0.6667,0.0000
PortScan,31761,31746,0.9931,0.9995,0.9963,0.0004
SSH-Patator,1179,1179,1.0000,1.0000,1.0000,0.0000
Web Attack Brute Force,301,234,0.7476,0.7774,0.7622,0.0001
Web Attack XSS,131,57,0.4634,0.4351,0.4488,0.0001
