class,support,tp,precision,recall,f1,fpr
BENIGN,454264,443642,0.8822,0.9766,0.9270,0.5324
Bot,391,0,0.0000,0.0000,0.0000,0.0000
DDoS,25605,15422,0.6225,0.6023,0.6122,0.0173
DoS GoldenEye,2059,320,0.7882,0.1554,0.2596,0.0002
DoS Hulk,46025,29880,0.8388,0.6492,0.7319,0.0110
DoS Slowhttptest,1100,2,0.0071,0.0018,0.0029,0.0005
DoS slowloris,1159,32,0.1633,0.0276,0.0472,0.0003
FTP-Patator,1587,0,0.0000,0.0000,0.0000,0.0000
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0000
PortScan,31761,501,0.3589,0.0158,0.0302,0.0017
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0000
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
