class,support,tp,precision,recall,f1,fpr
BENIGN,454264,452059,0.9999,0.9951,0.9975,0.0004
Bot,391,375,0.4540,0.9591,0.6163,0.0008
DDoS,25605,25601,0.9988,0.9998,0.9993,0.0001
DoS GoldenEye,2059,2057,0.9758,0.9990,0.9873,0.0001
DoS Hulk,46025,46000,0.9701,0.9995,0.9846,0.0027
DoS Slowhttptest,1100,1087,0.9671,0.9882,0.9775,0.0001
DoS slowloris,1159,1148,0.9897,0.9905,0.9901,0.0000
FTP-Patator,1587,1586,0.9994,0.9994,0.9994,0.0000
Other_Attack,13,8,0.6154,0.6154,0.6154,0.0000
PortScan,31761,31745,0.9942,0.9995,0.9968,0.0003
SSH-Patator,1179,1173,0.9529,0.9949,0.9734,0.0001
Web Attack Brute Force,301,140,0.8537,0.4651,0.6022,0.0000
Web Attack XSS,131,112,0.3944,0.8550,0.5398,0.0003
