class,support,tp,precision,recall,f1,fpr
BENIGN,454264,434341,0.8010,0.9561,0.8717,0.9695
Bot,391,0,0.0000,0.0000,0.0000,0.0003
DDoS,25605,0,0.0000,0.0000,0.0000,0.0001
DoS GoldenEye,2059,0,0.0000,0.0000,0.0000,0.0000
DoS Hulk,46025,3032,0.1319,0.0659,0.0879,0.0384
DoS Slowhttptest,1100,0,0.0000,0.0000,0.0000,0.0000
DoS slowloris,1159,0,0.0000,0.0000,0.0000,0.0000
FTP-Patator,1587,0,0.0000,0.0000,0.0000,0.0000
Other_Attack,13,0,0.0000,0.0000,0.0000,0.0000
PortScan,31761,77,0.8280,0.0024,0.0048,0.0000
SSH-Patator,1179,0,0.0000,0.0000,0.0000,0.0000
Web Attack Brute Force,301,0,0.0000,0.0000,0.0000,0.0000
Web Attack XSS,131,0,0.0000,0.0000,0.0000,0.0000
