class,support,tp,precision,recall,f1,fpr
BENIGN,454264,452673,0.9998,0.9965,0.9982,0.0006
Bot,391,375,0.5743,0.9591,0.7184,0.0005
DDoS,25605,25596,0.9992,0.9996,0.9994,0.0000
DoS GoldenEye,2059,2049,0.9693,0.9951,0.9820,0.0001
DoS Hulk,46025,45972,0.9783,0.9988,0.9884,0.0020
DoS Slowhttptest,1100,1085,0.9801,0.9864,0.9832,0.0000
DoS slowloris,1159,1147,0.9837,0.9896,0.9867,0.0000
FTP-Patator,1587,1580,0.9994,0.9956,0.9975,0.0000
Other_Attack,13,6,0.3000,0.4615,0.3636,0.0000
PortScan,31761,31658,0.9943,0.9968,0.9955,0.0003
SSH-Patator,1179,1168,0.9504,0.9907,0.9701,0.0001
Web Attack Brute Force,301,153,0.7427,0.5083,0.6036,0.0001
Web Attack XSS,131,80,0.2632,0.6107,0.3678,0.0004
