class,support,tp,precision,recall,f1,fpr
BENIGN,454264,443556,0.9999,0.9764,0.9880,0.0003
Bot,391,379,0.0585,0.9693,0.1104,0.0108
DDoS,25605,25603,0.9974,0.9999,0.9986,0.0001
DoS GoldenEye,2059,2055,0.9409,0.9981,0.9687,0.0002
DoS Hulk,46025,45994,0.9581,0.9993,0.9783,0.0039
DoS Slowhttptest,1100,1088,0.9527,0.9891,0.9706,0.0001
DoS slowloris,1159,1150,0.9871,0.9922,0.9897,0.0000
FTP-Patator,1587,1580,0.9994,0.9956,0.9975,0.0000
Other_Attack,13,9,0.0249,0.6923,0.0481,0.0006
PortScan,31761,31742,0.9927,0.9994,0.9960,0.0004
SSH-Patator,1179,1175,0.6467,0.9966,0.7844,0.0011
Web Attack Brute Force,301,284,0.1821,0.9435,0.3052,0.0023
Web Attack XSS,131,4,0.0816,0.0305,0.0444,0.0001
