model,time,accuracy,precision_macro,recall_macro,f1_macro,f1_micro,f1_weighted,auc_ovr_macro,seed,dataset
MVT-2Soft,16268.6819,0.9948,0.8028,0.8641,0.7817,0.9948,0.9952,0.9961,42,cicids2017
MVT-Joint,12463.4860,0.9922,0.7463,0.8799,0.7784,0.9922,0.9934,0.9966,42,cicids2017
MVT-2Soft,17826.7802,0.9956,0.8050,0.8806,0.8214,0.9956,0.9959,0.9958,123,cicids2017
MVT-Joint,13177.4855,0.9930,0.7524,0.8534,0.7741,0.9930,0.9942,0.9967,123,cicids2017
MVT-2Soft,17857.4442,0.9957,0.8429,0.9013,0.8235,0.9957,0.9959,0.9980,456,cicids2017
MVT-Joint,20410.4325,0.9930,0.7557,0.8985,0.7915,0.9930,0.9940,0.9991,456,cicids2017
MVT-2Soft,14490.9611,0.9947,0.8138,0.9037,0.8330,0.9947,0.9952,0.9963,2024,cicids2017
MVT-Joint,28123.0245,0.9953,0.8305,0.9036,0.8441,0.9953,0.9956,0.9963,2024,cicids2017
MVT-2Soft,14125.0939,0.9953,0.8008,0.8774,0.8232,0.9953,0.9958,0.9940,7777,cicids2017
MVT-Joint,31904.4572,0.9956,0.8589,0.9123,0.8677,0.9956,0.9958,0.9993,7777,cicids2017
